"あいかわらず";"aikawarazu";"seperti biasanya; seperti sebelumnya; seperti biasa; tetap"
"こん";"kon";"biru laut; biru tua ; benda; masalah, insiden; kejadian; peristiwa; sesuatu yang serius; masalah; keadaan krisis, ; situasi; keadaan, pekerjaan; bisnis; urusan, setelah kata yang dapat diubah, menciptakan frasa kata benda yang menunjukkan sesuatu yang tidak dirasa dekat oleh pembicara, nominalisasi akhiran, berpura-pura menjadi...; bermain khayalan..., alias; juga dikenal sebagai; atau dikenal sebagai; atau, kebutuhan; perlu, kamu harus...; Saya menyarankan Anda...; itu penting untuk... ; ini, terakhir (beberapa tahun, dll.); ini; masa lalu, kamu (seperti dalam "kamu pembohong") ; kun (salah satu trigram I Ching: bumi, barat daya) ; gen (salah satu trigram I Ching: gunung, timur laut) ; energi Yang; roh ; sikap berpegang teguh pada kegigihan; kegigihan; ketekunan, radikal (khususnya yang cenderung mudah terionisasi), akar, indriya (kemampuan tubuh yang mempunyai fungsi tertentu, misalnya alat indera) ; ikan, penghitung untuk ikan ; kun (dalam mitologi Tiongkok, ikan raksasa konon bisa berubah menjadi burung) ; dengan benjolan; dengan suara dentingan, yelp (misalnya suara rubah); kulit pohon; melolong ; kemacetan lalu lintas ; bekas luka (misalnya akibat operasi, suntikan); jejak; tanda (misalnya tanda selip) ; pernikahan ; untuk mengelilingi, mengepung; untuk dikelilingi; sulit ; kakak; keturunan ; kebencian, tidak suka; benci ; mengolah, merebut kembali, hingga lahan pertanian ; senja, malam tiba, gelap ; kejujuran ; tongkat ; semuanya, kekeruhan ; menjadi berlumpur ; mengalir, rebus ; permata ; jubah kekaisaran ; lelucon, bahasa sehari-hari ; tumit ; sup pangsit, pangsit ; Sekarang...; ini, hari ini..."
"混合";"kongou";"percampuran; campuran; berbaur, percampuran keturunan"
"こんだて";"kondate";"menu; tagihan tarif, program; jadwal"
"こんばんは";"konbanha";"Selamat malam"
"ご";"go";"lima; 5 ; awalan kehormatan/sopan/rendah hati, akhiran kehormatan ; pergi (permainan papan) ; kata, bahasa, ucapan ; setelah ; kesalahan ; pergi; kacang kedelai direndam dan dihaluskan hingga menjadi pasta kental (bahan tahu dan susu kedelai) ; Wu (wilayah di Tiongkok, selatan Yangtze bagian bawah), Wu (kerajaan di Tiongkok selama era Lima Dinasti dan Sepuluh Kerajaan; 902-937 M); Wu, Wu Selatan (kerajaan di Tiongkok selama era Tiga Kerajaan; 222-280 M)); Wu Timur; Sun Wu, Wu (kerajaan di Tiongkok selama era Musim Semi dan Musim Gugur; abad ke-11-473 SM) ; perusahaan; kelompok; kelas, pasukan; pangkat; mengajukan ; waktu; momen; batas, waktu kematian; momen terakhir, tengah malam di distrik lampu merah pada zaman Edo ; melindungi, menjaga, mempertahankan, berlindung ; saling, timbal balik ; kesenangan, kenikmatan, hiburan ; untuk menangkap, menyadari, menjadi sadar ; Pohon payung Cina, Sterculia platanifolia ; nama negara yang bertikai, nama keluarga ; bangun, mengerti ; jernih ; menentang ; lipan ; tupai terbang ; gigi tidak beraturan"
"強引";"gouin";"sombong; paksaan; ambisius; paksa"
"合同";"goudou";"kombinasi; Persatuan; penggabungan; fusi, kongruensi"
"合理";"gouri";"rasionalitas"
"合流";"gouryuu";"pertemuan (sungai); menggabungkan (lalu lintas); kumpulan orang banyak; persimpangan jalan; bergabung, bersatu (misalnya kekuatan); menghubungkan; penggabungan; datang bersama-sama"
"ごくろうさま";"gokurousama";"terima kasih (atas kerja keras Anda); Saya menghargai usaha Anda"
"五十音";"gojuuon";"suku kata Jepang"
"ごぞんじですか";"gozonjidesuka";"tahukah kamu? (sopan)"
"ごちそう";"gochisou";"pesta; mentraktir (seseorang), mentraktir (seseorang, misalnya untuk makan)"
"ごちそうさま";"gochisousama";"terima kasih (untuk makanannya); itu makanan yang enak, terima kasih (karena menunjukkan perilaku mesra)"
"ごぶさた";"gobusata";"tidak menulis atau menghubungi untuk sementara waktu; lalai (gagal) menulis (menelepon, berkunjung, dsb); keheningan yang lama"
"ごみ";"gomi";"sampah; menolak ; lima rasa (manis, asin, pedas, asam, pahit); lima selera; lima rasa, lima rasa (susu dalam berbagai tahap pembuatan ghee: susu segar, krim, susu kental, mentega, dan ghee); lima periode ajaran Buddha ; sedang tertidur dan terjaga"
"ごめん";"gomen";"Saya minta maaf; permintaan maaf saya; Permisi, bolehkah saya masuk?, izin; meninggalkan, pemecatan; keluar, tidak mau; keberatan; merasa muak dengan; ingin menghindari"
"ごめんください";"gomenkudasai";"bolehkah saya masuk?, mohon maafkan saya; saya minta maaf"
"ごらく";"goraku";"hiburan; rekreasi; kesenangan; hobi"
"ごらん";"goran";"(tolong) coba, (tolong) melihat, melihat; menonton"
"再三";"saisan";"lagi dan lagi; berkali-kali"
"祭日";"saijitsu";"libur nasional; hari festival"
"さいそく";"saisoku";"mendesak; menuntut ; anggaran rumah tangga; peraturan rinci ; tercepat"
"採点";"saiten";"menandai; penilaian; mencetak gol"
"さいなん";"sainan";"bencana; kemalangan ; paling selatan"
"さいほう";"saihou";"sel, sel (dalam sebuah organisasi, khususnya partai komunis) ; jahit; sulaman ; arah barat, Tanah Suci Barat (surga Buddha Amitabha), petarung barat dalam pertandingan (misalnya sumo) ; mengunjungi kembali; berkunjung lagi ; kunjungan penelitian; kunjungan untuk mengumpulkan data (khususnya sejarah, cerita rakyat, dll.)"
"逆さ";"sakasa";"terbalik; kembali ke depan"
"逆様";"sakasama";"terbalik; kembali ke depan; salah arah"
"さかのぼる";"sakanoboru";"untuk pergi ke hulu, untuk kembali (dalam waktu, ke asal); untuk saat ini kembali ke; untuk menelusuri kembali ke; untuk membuat berlaku surut"
"酒場";"sakaba";"batang; pub; warung"
"捜す";"sagasu";"untuk mencari; untuk berburu, mencari (rumah, saku, dll.); untuk mencari; untuk mengobrak-abrik (misalnya laci); untuk memancing di sekitar"
"さきおととい";"sakiototoi";"dua hari sebelum kemarin; tiga hari yang lalu (lalu)"
"先程";"sakihodo";"beberapa waktu yang lalu; beberapa saat; baru saja; beberapa waktu lalu"
"さく";"saku";"merobek; untuk merobek, memotong; untuk membelah; untuk membelah (khususnya bagian perut), untuk memisahkan secara paksa (misalnya dua kekasih), untuk meluangkan waktu (waktu, uang, dll.); menggunakan bagian dari sesuatu, untuk membuat tato di sudut mata ; mekar; berbunga; membuka ; karya (misalnya seni); produksi, panen; penanaman; pertanian; tanaman; teknik hasil ; pagar, benteng ; rencana; kebijakan; cara; ukuran; tipu; skema, prinsip kelima dari Delapan Prinsip Yong; jentikkan ke kanan ; bulan baru, hari pertama bulan lunar, kalender dan keputusan tahun depan (di Tiongkok kuno; didistribusikan oleh Kaisar pada akhir tahun) ; jue (kendi anggur Tiongkok kuno berkaki 3, biasanya terbuat dari perunggu), kebangsawanan (gelar turun-temurun yang diberikan oleh kaisar) ; kapsul (sporangium lumut), kapsul (jenis buah yang pecah-pecah) ; tikar (terbuat dari potongan bambu atau alang-alang yang diikat menjadi satu) ; dekrit kekaisaran untuk menganugerahkan gelar bangsawan (di Tiongkok kuno) ; blok (biasanya ikan untuk sashimi) ; hancurkan dengan tangan, tekan, remas, ekstrak ; sempit; berpikiran sempit ; tebal (rumput) ; memarahi, menyiksa, menghukum ; untuk berpisah, untuk memecah, untuk membuka ; pesawat; mengasah; mengurangi; mencukur (kulit); mengikis; mencoret ; terakhir (tahun); Kemarin ; tali ; menghindari"
"さくいん";"sakuin";"indeks (dalam buku)"
"作者";"sakusha";"pencipta (suatu karya); pengarang; penulis; artis; komposer; dramawan"
"さくじょ";"sakujo";"penghapusan; eliminasi; mencolok"
"作成";"sakusei";"pembuatannya (misalnya dokumen hukum, kontrak, surat wasiat, dll.); mempersiapkan; menulis; pembingkaian; membuat; memproduksi; menciptakan; penciptaan"
"さくせい";"sakusei";"pembuatannya (misalnya dokumen hukum, kontrak, surat wasiat, dll.); mempersiapkan; menulis; pembingkaian; membuat; memproduksi; menciptakan; penciptaan ; pembuatan; produksi ; pengeboran sumur"
"探る";"saguru";"untuk merasakan; untuk meraba-raba; untuk mencari, untuk menyelidiki; untuk memata-matai; bersuara, menjelajahi (bagian tidak diketahui); untuk dinikmati (keindahan alam)"
"ささやく";"sasayaku";"berbisik; untuk menggerutu, menurut rumor; untuk rumor ; berbisik. menyalahkan fitnah"
"刺さる";"sasaru";"untuk menempel (pada sesuatu yang berujung tajam); untuk menusuk; untuk menembus; terjebak (dalam); untuk menginap (dalam), untuk beresonansi secara emosional; untuk bergerak"
"差し支え";"sashitsukae";"halangan"
"差し引き";"sashihiki";"deduksi; pengurangan; keseimbangan, pasang surut; naik dan turun"
"さしみ";"sashimi";"sashimi (irisan ikan mentah, kerang atau krustasea) ; dorongan tangan yang cepat"
"さじ";"saji";"sendok ; pertemuan minum teh (untuk upacara minum teh), beberapa hal mengenai teh, pertemuan minum teh keluarga yang diadakan untuk mengenang leluhur yang telah meninggal ; loquat ; sesuatu yang kecil; sesuatu yang remeh; Agak"
"さす";"sasu";"bersinar, terlihat, diwarnai, naiknya (ketinggian air); mengalir masuk, untuk dirasakan (yaitu sebagai emosi); untuk datang, untuk memegang (payung, dll.); untuk memasang; untuk mengangkat, mengulurkan lengan lurus ke depan (dalam tarian), memasukkan; untuk memasukkan, memakai (pedang) di ikat pinggangnya; untuk dipakai di sisi seseorang; membawa di bawah lengan, memasukkan lengan ke bawah lengan lawan, ke tiang (perahu), menuangkan; untuk menambahkan (cair); untuk menyajikan (minuman), untuk dipakai (lipstik, dll.); untuk melamar; mewarnai; untuk mewarnai, menerangi (api); untuk membakar, menutup; untuk menutup; untuk mengunci; untuk mengencangkan, untuk berhenti di tengah-tengah; untuk pergi dibatalkan ; untuk menembus; menusuk; untuk menusuk; untuk tetap; untuk mendorong, menyengat; menggigit, menjahit; untuk menjahit; menyulam, menjadi tiang (perahu), menangkap (dengan tiang berkapur), menyingkirkan (pelari); untuk memilih ; menunjuk, menominasikan; untuk memilih seseorang; untuk menentukan seseorang, untuk diidentifikasi; mengindikasikan; untuk menunjukkan, bermain (permainan shogi); untuk menggerakkan (sepotong), merentangkan tangan lurus ke depan (dalam tarian) ; untuk menuangkan; untuk menambahkan (cair); untuk menyajikan (minuman), untuk dipakai (lipstik, dll.); untuk melamar; mewarnai; untuk mewarnai, menerangi (api); untuk membakar ; untuk menyengat (yaitu lebah, tawon, dll.) ; untuk membuat (seseorang) melakukan, untuk mengizinkan (seseorang) untuk, membiarkan; untuk memungkinkan; menyebabkan, diizinkan, melakukan, berpindah ; ancaman ; gosong; beting; kawanan ; untuk memasukkan; untuk dimasukkan, untuk ditanam (stek); menyerang, merangkai (bunga), memakai (pedang) di ikat pinggang, untuk menutup; untuk mengunci; untuk mengencangkan ; menutup; untuk menutup; untuk mengencangkan; mengunci, untuk memblokir (jalan, pintu masuk, dll.), untuk menutup (dengan salju, es, dll.); untuk mematikan; untuk memotong; untuk menutupi (misalnya dalam kegelapan), untuk mengkonsumsi (dengan perasaan negatif); untuk mengisi (misalnya dengan kesedihan); untuk mengubur (misalnya dalam kesedihan)"
"刺す";"sasu";"untuk menembus; menusuk; untuk menusuk; untuk tetap; untuk mendorong, menyengat; menggigit, menjahit; untuk menjahit; menyulam, menjadi tiang (perahu), menangkap (dengan tiang berkapur), menyingkirkan (pelari); untuk memilih"
"注す";"sasu";"untuk menuangkan; untuk menambahkan (cair); untuk menyajikan (minuman), untuk dipakai (lipstik, dll.); untuk melamar; mewarnai; untuk mewarnai, menerangi (api); untuk membakar"
"流石";"sasuga";"seperti yang diharapkan; seperti yang Anda harapkan (dari); sama seperti (seseorang), masih; semua sama; lagipula, bahkan... (misalnya "bahkan seorang jenius")"
"さっさと";"sassato";"dengan cepat"
"早速";"sassoku";"sekaligus; langsung; tanpa penundaan; tepat"
"さつえい";"satsuei";"fotografi (diam atau bergerak); memotret; syuting; penembakan; (rekaman video"
"さび";"sabi";"karat ; tekstur bahan yang bergelombang (khususnya kain tenun), lipatan pada topi eboshi ; hook (titik puncak sebuah lagu); paduan suara ; wasabi; lobak Jepang ; karat, noda ; patina; tampilan antik, kesederhanaan yang elegan, suara yang terlatih"
"さびる";"sabiru";"berkarat; menjadi berkarat"
"冷ます";"samasu";"untuk mendinginkan (misalnya dari suhu tinggi ke suhu kamar); untuk membiarkan dingin, untuk meredam; merusak"
"さまたげる";"samatageru";"mengganggu; untuk mencegah; untuk menghalangi"
"冷める";"sameru";"untuk menenangkan diri; menjadi dingin, untuk menenangkan diri (kegembiraan, amarah, dll.); mereda; untuk meredam; memudar; berkurang, menjadi dingin (mata, ekspresi, dll.); untuk dikomposisikan"
"さようなら";"sayounara";"selamat tinggal; kata perpisahan; begitu lama"
"再来月";"saraigetsu";"bulan demi bulan berikutnya"
"再来週";"saraishuu";"minggu demi minggu berikutnya"
"再来年";"sarainen";"tahun demi tahun berikutnya"
"さわがしい";"sawagashii";"bising; riuh, bergejolak (zaman, dsb); bermasalah"
"さわやか";"sawayaka";"segar; menyegarkan, jelas (misalnya suara); fasih"
"三角";"sankaku";"segi tiga; bentuk segitiga"
"算数";"sansuu";"perhitungan aritmatika"
"さんせい";"sansei";"sering refleksi (meditasi) ; persetujuan; perjanjian; mendukung; kebaikan ; keasaman, asam ; kontrol kelahiran ; produksi ; tiga orang yang tercerahkan (Buddha, Konfusius dan Kristus; Lao-tzu, Konfusius dan Buddha; dll.); tiga orang bijak; tiga orang berbudi luhur, tiga orang paling berprestasi (dari keahlian atau perdagangan tertentu) ; tiga generasi, imigran generasi ketiga; sansei, yang ketiga (misalnya Henry III) ; partisipasi dalam pemerintahan"
"産地";"sanchi";"daerah produksi"
"山林";"sanrin";"hutan pegunungan; hutan di gunung, pegunungan dan hutan"
"在学";"zaigaku";"menghadiri (sekolah, perguruan tinggi, dll); sedang terdaftar; menjadi seorang pelajar"
"材木";"zaimoku";"kayu (untuk bangunan); kayu"
"ざしき";"zashiki";"ruang tatami; ruang tikar tatami; ruang formal Jepang, pesta makan malam di ruang tatami (khususnya saat geisha atau maiko hadir)"
"雑音";"zatsuon";"kebisingan (biasanya tidak menyenangkan), interferensi (misalnya radio); statis; kebisingan, gosip; kritik yang tidak bertanggung jawab"
"座布団";"zabuton";"zabuton (bantal lantai datar yang digunakan saat duduk atau berlutut; biasanya berbentuk persegi panjang)"
"仕上がる";"shiagaru";"untuk diselesaikan; harus dilakukan"
"しあさって";"shiasatte";"dalam waktu tiga hari; dua hari lusa"
"しいんと";"shiinto";"diam-diam (seperti kuburan); diam-diam"
"塩辛い";"shiokarai";"asin (rasa); asin"
"しかい";"shikai";"memimpin rapat; memimpin upacara; ketua, ketua; pembawa acara; tuan rumah; moderator ; bidang pandang; visibilitas; melihat; bidang visual; (seseorang) ken ; dokter gigi ; Laut Mati ; lapangan ini; Subjek ini ; pertemuan puisi ; Dewan Kota ; tak bernyawa seperti abu dingin ; seluruh dunia; tujuh lautan"
"しかく";"shikaku";"berbentuk persegi; persegi ; indera penglihatan; penglihatan ; kualifikasi; persyaratan; kemampuan ; penyair ; pembunuh, untuk membunuh ; titik buta (misalnya pada pengemudi), sudut mati; tanah mati; ruang mati; sektor tanpa api ; sudut pandang"
"しかくい";"shikakui";"persegi; persegi panjang"
"しき";"shiki";"empat musim ; moral (pasukan, tim, dll); setia kawan ; memerintah; arah ; persamaan; rumus; ekspresi, upacara, gaya, peraturan penegakan (dari ritsuryo) ; periode awal; istilah awal ; artikel kertas; wadah, dll. terbuat dari kertas ; catatan atau dokumen pribadi ; tekad; setia kawan ; perkenalan, vijnana; kesadaran, ditulis oleh... ; terowongan tambang; poros tambang; poros ranjau ; lembaga (departemen pemerintah antara kementerian dan biro di bawah sistem ritsuryō) ; rupa (bentuk), objek yang terlihat (yaitu warna dan bentuk) ; Shiji; Shih-chi; Catatan Sejarah (catatan sejarah Tiongkok kuno) ; menyebar; meletakkan; penutup, uang jaminan, kasur Jepang ; cuaca empat musim (hangatnya musim semi, teriknya musim panas, sejuknya musim gugur, dan dinginnya musim dingin) ; waktu kematian; jam terakhir seseorang; akhir seseorang ; kukuk kecil (Cuculus poliocephalus) ; ambang pintu (khususnya yang memiliki alur untuk pintu geser); ambang"
"しきち";"shikichi";"lokasi; merencanakan; alasan ; nilai warna"
"しきゅう";"shikyuu";"empat bola; berdasarkan bola; berjalan ; rahim ; persediaan; memasok; pembayaran; uang saku; menganugerahkan ; lemparan yang mengenai pemukul ; mendesak; segera; mengingatkan; ekspres, segera; tepat; sekaligus; tanpa penundaan; secepat mungkin ; Peti mati Kaisar (terbuat dari kayu catalpa)"
"しく";"shiku";"untuk menyebar; untuk lay out, untuk mengambil posisi, untuk memaksakan secara luas (misalnya di kota) ; untuk mencocokkan; untuk menyamakan, untuk mengejar; untuk menyalip ; empat jenis penderitaan (kelahiran, usia tua, penyakit, kematian) ; kematian yang tak terhindarkan (salah satu dari empat jenis penderitaan), sakit kematian; penderitaan kematian ; terjadi berulang kali; untuk diulangi ; untuk menyatakan, mengumumkan ; meluap ; kabupaten kota; jalanan ; ayat"
"しげる";"shigeru";"untuk tumbuh lebat; berada dalam daun penuh; menjadi merajalela; untuk menikmati; menjadi mewah ; tumbuh, berkembang biak, bertambah; berkembang pesat ; hal-hal asing"
"ししゃごにゅう";"shishagonyuu";"pembulatan (pecahan); membulatkan setengahnya"
"始終";"shijuu";"terus menerus; dari awal sampai akhir; dari pertama hingga terakhir"
"静まる";"shizumaru";"menjadi pendiam; untuk menenangkan diri, untuk menenangkan diri; untuk mereda; mereda; untuk ditekan"
"しせい";"shisei";"sikap; pose; posisi; pendirian; pengangkutan (tubuh), sikap; mendekati; pendirian ; pemerintah kota ; pemerintah; administrasi; kenegarawanan ; sifat seseorang; disposisi seseorang ; empat nada (dari Cina) ; empat orang bijak agung (Buddha, Kristus, Konfusius, Socrates) ; hidup dan mati ; penyair hebat ; empat keluarga besar zaman (khususnya klan Minamoto, klan Taira, klan Fujiwara, dan klan Tachibana), varna (masing-masing dari empat kasta Hindu) ; kebenaran yang sempurna ; pembuatan percobaan (budidaya, dll) ; kekuatan (seperti nyala api yang melompat); keaktifan ; terbuat dari kertas ; tato (khususnya tato tradisional Jepang); tato ; jalan; kota ; organisasi kota; kotamadya ; kondisi kota; sensus kota ; buatan pribadi (khususnya kartu pos, kartu pos, dll.); dibuat secara komersial; non-pemerintah; tidak resmi ; perempuan ; kejujuran; kesetiaan"
