"愛";"ai ; mana";"Cinta; kasih sayang; perawatan, keterikatan; keinginan, agape, Irlandia ; kesayangan; Sayang"
"警告";"keikoku";"peringatan; nasihat"
"けいさん";"keisan";"perhitungan; hitungan, perkiraan ; keseimbangan; telah melahirkan anak, parous ; asam silikat ; penindih kertas"
"けいじ";"keiji";"(polisi) detektif, masalah kriminal ; melihat; buletin; pos; posting; plakat ; tunduk pada orang lain seperti kakak laki-laki ; pencatatan jam kerja; waktu ; kata kerja penghubung ; berlalunya waktu; usia, kronologis; berturut-turut; metakronis; terkait usia; berdasarkan usia; penuaan ; Kyoto-Shiga; Kyoto dan Shiga ; Wahyu ilahi ; acara bahagia; acara yang menguntungkan; penting untuk ucapan selamat"
"けいやく";"keiyaku";"kontrak; kompak; perjanjian ; perkiraan total (dari)"
"経由";"keiyu ; keiyuu";"melalui; lewat"
"けが";"kega";"cedera; luka, kesalahan; kecelakaan; kehilangan"
"けしょう";"keshou";"dandan; kosmetik ; goblin"
"けち";"kechi";"kekikiran; mencubit satu sen; sangat hemat; orang kikir; pelit, lusuh; murah; berkudis; miskin; remeh, kecil; berpikiran sempit; kejam; berpikiran kecil, nasib buruk; pertanda buruk; kemalangan; nasib sial"
"けっか";"kekka";"hasil; konsekuensi; efek, mulai membuahkan hasil; menghasilkan buah, sebagai hasilnya; akibatnya; Karena itu ; sungai menerobos (tanggulnya) ; posisi lotus (postur meditasi dan yoga); padmasana; duduk dengan kaki disilangkan dan kaki diletakkan di atas paha yang berlawanan ; kelas pemotongan; ketidakhadiran di sekolah"
"けっかん";"kekkan";"cacat; kesalahan; kekurangan; kelainan bentuk; celah ; pembuluh darah ; volume yang hilang (misalnya satu set buku) ; posisi kosong di pemerintahan, memberhentikan pejabat pemerintah ; darah, keringat dan air mata; keringat darah"
"けっきょく";"kekkyoku";"Lagipula; pada akhirnya; akhirnya, kesimpulan; akhir, akhir permainan go, shogi, dll."
"決心";"kesshin";"tekad; resolusi"
"欠席";"kesseki";"ketiadaan; ketidakhadiran"
"決定";"kettei";"keputusan; tekad"
"欠点";"ketten";"kesalahan; cacat; kekurangan; titik lemah; kelemahan, kegagalan (dalam suatu ujian); nilai gagal"
"けつろん";"ketsuron";"kesimpulan"
"煙";"kemuri ; keburi";"merokok; uap"
"けん";"ken";"urusan; perselingkuhan; kasus; barang; subjek, penghitung untuk email (yang diterima), pesan teks, pesan suara, dll., penghitung untuk akun (di situs web, layanan email, dll.) ; cum (misalnya kamar tidur sekaligus ruang belajar); memegang kedua peran tersebut (misalnya Perdana Menteri dan Menteri Luar Negeri); Selain itu; secara bersamaan; pada saat yang sama ; tiket; kupon; menjalin kedekatan; sertifikat ; pedang (khususnya pedang besar bermata dua); pedang, bayonet, ilmu pedang, alat penyengat; ovipositor; anak panah ; benar (melakukan sesuatu), otoritas; kekuatan ; prefektur (Jepang); county (Cina, Taiwan, Norwegia, dll.); departemen (Prancis); provinsi (Italia, Spanyol, dll.) ; kekuatan; kepadatan; ketegasan, baju besi; baju zirah ; counter untuk gedung (khususnya rumah), akhiran untuk nama pena, nama panggung, dll. ; ken (6 shaku, sekitar 1,818 m), penghitung yang digunakan untuk menghitung jarak antar pilar ; kunci (piano, dll.) ; permainan tangan (misalnya batu-kertas-gunting) ; pandangan (tentang kehidupan, dll.); pandangan ; intelijen; jenius; beasiswa; kebajikan ; paparan; kejelasan, Buddha eksoterik; ajaran Buddha di masyarakat ; kecuraman; tempat curam, keras (lihat); tajam (lidah) ; xun (alat musik Tiongkok kuno yang menyerupai ocarina tanah liat) ; memengaruhi; khasiat, pertanda ; kecantikan ; menggiling, menggosok; belajar, penelitian ; kuat, kokoh, sehat; kekuatan ; memeriksa; meneliti ; konstitusi, undang-undang, hukum ; kirim; pengasingan ; rendah hati ; menjadi lelah, lelah ; hidup, berisik; keributan, bicaralah dengan keras ; menggulung; keriting, digulung ; tarik, pimpin dengan tangan ; beraneka ragam, dihiasi; cemerlang ; beriklim sedang, hemat, ekonomis ; jalan sempit, titik strategis, berbahaya ; untuk melingkari; sebuah lingkaran; kandang ternak ; nyata, tampilan; jelas ; menjadi lelah, berhentilah ; jatuhkan, murni ; pemarah ; lihat sekeliling, perhatikan dengan penuh kasih sayang ; sutra halus ; menghormati ; siput sungai yang bisa dimakan ; lupakan, berisik ; mencela ; gila ; menghemat; penghematan; kebijaksanaan; kesederhanaan ; bola; lingkaran; jangkauan; daerah; kategori blok ; urat daging ; qian (salah satu trigram I Ching: surga, barat laut)"
"けんか";"kenka";"pertengkaran; ribut; bertarung; bertengkar; perkelahian; argumen ; di prefektur; prefektur ; persembahan bunga; penghormatan bunga; meletakkan bunga ; suspensi (dari mobil) ; bunga prefektur; lambang bunga untuk sebuah prefektur ; saponifikasi; konversi menjadi sabun ; kacang ; harga kepompong"
"見解";"kenkai";"pendapat; sudut pandang"
"けんこう";"kenkou";"kesehatan, sehat; suara; bugar; baik ; keseimbangan ; pejabat pengadilan buta tingkat tertinggi, administrator kuil, administrator istana, inspeksi; inspektur ; layu (tinggi dari tanah hingga tulang belikat pada hewan) ; cahaya yang memancar dari pedang; kilauan pedang ; lakukan secara bersamaan ; bersemangat tinggi; dalam semangat yang tinggi ; tetap diam; diam, menahan (ucapan); tersedak; memberangus"
"けんさ";"kensa";"inspeksi (misalnya bea cukai, pabrik); penyelidikan; pemindaian (misalnya MRI, PET, dll.)"
"けんせつ";"kensetsu";"konstruksi; pembentukan ; merangkap sebagai; memegang jabatan tambahan"
"けんちく";"kenchiku";"konstruksi; arsitektur (bangunan)"
"けんとう";"kentou";"bertarung dengan gagah berani; upaya yang berat ; pertimbangan; penyelidikan; belajar; pengawasan; diskusi; analisis; tinjauan ; memperkirakan; tebakan; dugaan; tujuan, arah; bantalan, tanda registrasi (pencetakan), kira-kira; tentang; sekitar ; lentera nazar di kuil atau kuil ; jawaban bijak; balasan yang cerdas ; lemparan yang bagus ; tinju ; lampu atau lampu listrik di bagian atap rumah; lampu pintu ; musim dingin"
"見当";"kentou";"memperkirakan; tebakan; dugaan; tujuan, arah; bantalan, tanda registrasi (pencetakan), kira-kira; tentang; sekitar"
"けんぽう";"kenpou";"konstitusi, aturan; peraturan ; Era Kenpo (1213.12.6-1219.4.12) ; (seni) anggar; ilmu pedang ; seni bela diri Tiongkok; kungfu; wushu; quanfa, kenpō (seni bela diri); kempo"
"権利";"kenri";"Kanan; hak istimewa"
"げいじゅつ";"geijutsu";"seni (bagus); karya seni"
"げき";"geki";"drama; bermain, obat ampuh ; celah; spasi, istirahat; selingan; interval, celah (dalam baju besi seseorang, baju besi); peluang; titik lemah, pelanggaran (hubungan antar manusia) ; (tertulis) banding; bundar; manifesto, dorongan; kata-kata semangat; surat dorongan ; ji (tombak Tiongkok kuno) ; diam-diam ; sangat; hebatnya; super ; serang, pukul; menyerang, bertarung"
"げきじょう";"gekijou";"teater; rumah bermain ; menginjak tanah secara ritmis sambil menyanyikan, permainan lempar bakiak kayu Tiongkok kuno ; memukul mundur (misalnya musuh); memukul mundur; pergi ; emosi kekerasan; gairah; kemarahan"
"月曜";"getsuyou";"Senin"
"限界";"genkai";"membatasi; melompat"
"現金";"genkin";"uang tunai; uang siap pakai; uang di tangan; mata uang, tentara bayaran; mementingkan diri sendiri; menghitung"
"言語";"gengo ; gongo ; genkyo";"bahasa"
"現在";"genzai";"saat ini; sekarang, pada, saat ini, dunia ini; kehidupan ini, benar-benar ada; untuk ada saat ini; untuk ada tepat di depannya"
"げんしょう";"genshou";"mengurangi; pengurangan; menolak ; fenomena ; dunia ini; hidup ini ; malam tanggal 15 bulan pertama penanggalan lunar"
"現実";"genjitsu";"realitas; aktualitas; fakta yang sulit"
"現状";"genjou";"kondisi sekarang; negara bagian yang ada; status quo; kondisi saat ini"
"現代";"gendai";"usia sekarang; hari ini, era modern; zaman modern"
"現場";"genba ; genjou";"tempat sebenarnya; tempat kejadian (kejahatan, kecelakaan, dll.), (di) lokasi; (di) tanah; (di lapangan; lokasi kerja, lokasi syuting; (film) diatur"
"こい";"koi";"maksud; itikad buruk, mens rea (pikiran bersalah) ; ikan mas (Cyprinus carpio); ikan koi ; dalam (berwarna); gelap, kuat (rasa, bau, dll.), kental (konsistensi); padat, kuat (kemungkinan, dll.), tebal (yaitu "setebal pencuri"); menutup; dalam (cinta, dll.) ; Cinta romantis ; kaya akan...; tinggi...; penuh dengan...; sangat...; lumayan... ; datang!; Ayo! ; cara-cara kuno; perasaan orang dahulu ; meminta; permintaan yg sangat mendesak"
"こいびと";"koibito";"kekasih; sayang; pacar; pacar perempuan"
"幸運";"kouun";"semoga beruntung; harta benda"
"こうえん";"kouen";"mendukung; dukungan ; taman (umum). ; pertunjukan publik, pameran di luar negeri ; kuliah; alamat; pidato ; bangsawan; mulia ; asap dupa ; tepi mangkuk atau bejana, peristome ; pulang dari taman kanak-kanak; pulang dari TK ; kuning krom ; ruang kuliah ; cahaya dan nyala api ; presentasi lisan ; sariawan; stomatitis ; Penampilan yang bagus ; luas dan jangkauannya jauh ; nyala merah, (matahari) menonjol"
"こうか";"kouka";"memengaruhi; efektivitas; kemanjuran; hasil, efek (misalnya efek suara, efek visual, efek khusus) ; kursus teknik ; lagu sekolah ; pengerasan; pulkanisasi; vulkanisasi; sklerosis; menyembuhkan, pengerasan (sikap, pendirian, dll); pengerasan; ketangguhan, peningkatan (di pasar); menguat ; koin, mata uang keras ; sangat mahal; mahal; berharga ; ditinggikan (struktur); atas ; nyanyian yang keras ; Era Koka (1844.12.2-1848.2.28) ; konversi ke serat optik ; kabut merah; awan berwarna merah tua (misalnya saat matahari terbenam) ; Bahaya Kuning (dugaan ancaman terhadap peradaban Barat yang ditimbulkan oleh orang-orang Asia Timur), kerusakan yang disebabkan oleh pembuangan kotoran manusia dari toilet kereta api ke rel kereta api ; bunga kuning; tanaman dengan bunga kuning, krisan, bunga lobak ; bangsawan istana; bangsawan, Pengadilan Kekaisaran ; cuti ; pungutan umum; pajak ; bunga safflower (Carthamus tinctorius); safflower pewarna ; evaluasi; peringkat ; mineralisasi ; turun; jatuh; menjatuhkan; depresi (atmosfer), diturunkan (atas perintah, keputusan, dll.) ; kebakaran besar yang menghancurkan dunia ; gelatinisasi ; pernikahan seorang putri Kekaisaran dengan subjek ; kelebihan dan kekurangan"
"こうかん";"koukan";"menukarkan; pertukaran; beralih; timbal balik; barter; pengganti; penggantian; kliring (cek, cek) ; rumah dinas ; perasaan baik; niat baik; kesan yang baik ; pejabat tinggi ; Dinasti Han kemudian (Tiongkok; 25-220 M); Dinasti Han Timur, Dinasti Han kemudian (Tiongkok; 947-950 M) ; para dewa mengawasi manusia dari surga ; surat resmi (khususnya di internal perusahaan); surat resmi ; tuas ; hubungan; saling simpati ; pertukaran sapa (keramahan); pergaulan bersahabat; persaudaraan ; korona ; pendekatan musim dingin; mendekati waktu terdingin dalam setahun ; teman baik ; tebal; produktif ; pipa baja ; di jalanan; di sekitar kota; Dunia; masyarakat ; masalah di masa depan ; publikasi"
"こうくう";"koukuu";"penerbangan ; wilayah udara internasional; ruang internasional ; dataran tinggi ; rongga mulut; mulut"
"光景";"koukei";"pemandangan; tontonan; penglihatan; melihat"
"こうけん";"kouken";"perwalian, asisten (teater); pembisik ; kontribusi (melanjutkan tujuan atau tujuan); layanan (untuk suatu tujuan) ; pandanganmu; pendapat Anda, ide bagus ; Kantor Kejaksaan Tinggi ; tiket kereta api dicetak di atas kertas tebal ; kepompong kuning ; konsekuensi (dalam logika) ; kemanjuran; memengaruhi ; hak-hak sipil"
"こうげき";"kougeki";"menyerang; serangan; serangan gencar; ofensif, kritik; mengecam; pengaduan; penghukuman ; serangan verbal"
"広告";"koukoku";"iklan, pengumuman; melihat"
"交際";"kousai";"perusahaan; persahabatan; asosiasi; masyarakat; kenalan"
"後者";"kousha";"yang terakhir"
"工場";"koujou ; kouba";"pabrik; tanaman; bengkel"
"構成";"kousei";"komposisi; konstruksi; pembentukan; dandan; struktur; organisasi"
"高速";"kousoku";"kecepatan tinggi; cepat; ekspres, jalan raya; jalan bebas hambatan; jalan tol"
"行動";"koudou";"tindakan; mengadakan; perilaku; mobilisasi"
"幸福";"koufuku";"kebahagiaan; kesejahteraan; sukacita"
"公平";"kouhei ; kinpira";"keadilan; ketidakberpihakan; objektivitas ; akar burdock cincang (dan terkadang wortel) dimasak dengan gula dan kecap"
"こうほ";"kouho";"calon; lawan; prospek; memilih; pilihan; daftar, pencalonan ; cattail biasa (Typha latifolia); rumput gajah biasa; redmace umum"
"こうりょ";"kouryo";"pertimbangan; mempertimbangkan ; bepergian, pelancong; wisatawan"
"越える";"koeru";"untuk menyeberang; untuk melewati; untuk melewati (keluar dari); untuk melampaui, melampaui; untuk melampaui; menjadi lebih (dari)"
"こおり";"koori";"daerah; kabupaten, distrik (dari 2-20 lingkungan dengan 50 rumah atau kotapraja, pada periode ritsuryo) ; es, es serut (biasanya disajikan dengan sirup sederhana rasa) ; radikal air dua langkah atau radikal es (no. 15)"
"こおる";"kooru";"membekukan; untuk dibekukan; untuk membeku"
"呼吸";"kokyuu";"pernafasan; pernapasan, kemampuan; menipu; rahasia (melakukan sesuatu), harmoni; keseimbangan; sinkronisasi; sesuai, interval pendek; jeda singkat"
"こきょう";"kokyou";"kota asal; tempat lahir; tempat asal; reruntuhan rumah lama seseorang; peninggalan bersejarah"
"国語";"kokugo";"bahasa nasional, Bahasa Jepang (khususnya sebagai mata pelajaran sekolah di Jepang), bahasa ibu seseorang; bahasa asli, kata-kata asli Jepang (sebagai lawan dari kata pinjaman)"
"こくばん";"kokuban";"papan tulis"
"こくふく";"kokufuku";"penaklukan (atas kesulitan, penyakit, cacat, dan lain-lain); mengatasi; mengendalikan; penaklukan; kemenangan atas ; restorasi"
"国民";"kokumin ; kunitami";"orang (dari suatu negara); bangsa; warga negara; Nasional ; orang-orang suatu negara"
"こくもつ";"kokumotsu";"bulir; sereal; Jagung"
"ここ";"koko";"Di Sini; tempat ini, titik ini; Di Sini; sekarang, yang lalu... (misalnya tiga tahun); ini yang terakhir..., berikutnya... (misalnya beberapa hari); ini selanjutnya... ; sembilan; 9 ; individu; satu per satu; memisahkan; setiap ; tangisan bayi saat lahir ; setiap rumah"
"こし";"koshi";"punggung bawah; pinggang; panggul; daerah pinggang, tubuh (rambut, mie, kertas, dll.); ketangguhan; musim semi ; kertas bekas; kertas untuk didaur ulang ; pispot; pot kencing, bayi harimau ; counter untuk pedang, hakama, obi, dll. dikenakan di pinggang, counter untuk tempat anak panah ; tandu; sampah; bier, kuil portabel ; sejarah kuno ; puisi kuno ; kuil kecil tua ; layu; sekarat ; reruntuhan bersejarah"
"こしょう";"koshou";"penamaan; memberi nama; denominasi, nominal ; perincian; kegagalan; kesalahan; kecelakaan; rusak, kerusakan; sakit hati, keberatan; protes ; danau; rawa; lahan basah; perairan pedalaman ; merica ; halaman (bangsawan). ; kehadiran ; pinus tua ; lolongan harimau, keluar dan aktif di dunia (pahlawan, dll.) ; nama lama ; membual; berlebihan"
"こじん";"kojin";"individu; orang pribadi; pribadi ; almarhum ; orang kuno"
"越す";"kosu";"untuk menyeberang (misalnya gunung); untuk menyeberang, untuk mengatasi (misalnya kesulitan), untuk melewatkan waktu (misalnya musim dingin), untuk melampaui; menjadi lebih baik dari; melebihi, untuk pindah rumah, untuk pergi; datang"
"国家";"kokka";"negara; bangsa"
"国会";"kokkai";"Diet Nasional; majelis legislatif Jepang (1947-), Diet Kekaisaran; majelis legislatif Jepang (1889-1947), majelis legislatif; parlemen; Kongres"
"こっきょう";"kokkyou";"batas negara; perbatasan provinsi ; agama negara"
"こっせつ";"kossetsu";"patah tulang ; sendi (antar tulang)"
"こづつみ";"kodutsumi";"paket; kemasan"
"事";"koto ; kon ; ji ; goto";"benda; masalah, insiden; kejadian; peristiwa; sesuatu yang serius; masalah; keadaan krisis, ; situasi; keadaan, pekerjaan; bisnis; urusan, setelah kata yang dapat diubah, menciptakan frasa kata benda yang menunjukkan sesuatu yang tidak dirasa dekat oleh pembicara, nominalisasi akhiran, berpura-pura menjadi...; bermain khayalan..., alias; juga dikenal sebagai; atau dikenal sebagai; atau, kebutuhan; perlu, kamu harus...; Saya menyarankan Anda...; itu penting untuk... ; fenomena konkret individu (sebagai lawan dari prinsip umum) ; nominalisasi sufiks, pura-pura menjadi...; bermain khayalan..."
"ことなる";"kotonaru";"untuk membedakan; untuk memvariasikan; tidak setuju"
"ことわざ";"kotowaza";"pepatah; kata mutiara ; proyek; perusahaan; bisnis; industri; operasi; usaha; layanan, tindakan; akta; mengadakan"
"断る";"kotowaru";"untuk menolak; menolak; untuk memberhentikan, memberi informasi; untuk memberikan pemberitahuan; untuk memberi tahu sebelumnya, untuk meminta izin; untuk memaafkan diri sendiri (dari)"
"こな";"kona";"tepung; makanan; bubuk; debu"
"この";"kono";"sembilan; 9 ; ini, terakhir (beberapa tahun, dll.); ini; masa lalu, kamu (seperti dalam "kamu pembohong") ; ini, dengan demikian, itu; untuk memotong; partikel yang tegas"
"好み";"konomi ; gonomi ; yoshimi";"menyukai; mencicipi; pilihan ; menyukai; memiliki kesukaan terhadap, keinginan; disukai oleh; terkenal dengan ; persahabatan; hubungan persahabatan; koneksi; keintiman"
"好む";"konomu";"menyukai; untuk memilih"
"こむぎ";"komugi";"gandum"
"小屋";"koya ; shouoku";"pondok; kabin; gudang; (hewan) pena, teater kecil (teater); rumah bermain sementara; tenda sirkus; booth, rumah sendiri"
"これら";"korera";"ini ; kolera, kolik"
"ころ";"koro";"(perkiraan) waktu; sekitar; tentang; menuju, waktu (atau kondisi), waktu yang sesuai dalam setahun; musim ; labu (Lagenaria siceraria) ; rol; pelari; lemak ikan paus kering ; self-, from..., this... (berbeda dengan beberapa lainnya...); tersebut di atas ; katrol, rol"
"殺す";"korosu";"untuk membunuh; membunuh; untuk menyembelih, untuk menekan; untuk memblokir; untuk menghambat; untuk menghancurkan (misalnya bakat); untuk menghilangkan (misalnya bau); untuk merusak (misalnya rasa); untuk membunuh (misalnya kecepatan seseorang), untuk menekan (suara, perasaan, dll.); untuk menahan; untuk menahan (menguap, tertawa, dll.); menahan (nafas), mengeluarkan (pelari), menggadaikan; untuk dimasukkan ke dalam hock"
