"会う";"au";"bertemu; untuk menghadapi; untuk melihat, mengalami kecelakaan; untuk mendapatkan pengalaman buruk"
"ゆき";"yuki";"salju; salju yg turun ; jalan ke sana; kaki keluar; perjalanan keluar; berangkat, menuju..., tiket keluar ; jarak dari jahitan bagian belakang kimono hingga ujung lengan ; tempat anak panah (panah; berbentuk kotak) ; varian musim dingin yang radikal (no. 34)"
"ゆっくり";"yukkuri";"perlahan-lahan; tidak tergesa-gesa; tanpa tergesa-gesa; santai; di waktu senggang, dengan mudah (misalnya pada waktu); Sehat; cukup; dengan waktu luang, baik (misalnya tidur); dengan nyaman"
"よい";"yoi";"kemabukan; keracunan, mabuk perjalanan ; Bagus; bagus sekali; menyenangkan, cukup; siap, menguntungkan (kesepakatan, penawaran bisnis, dll.); bermanfaat, OK; Baiklah; Bagus; Tidak masalah ; bagus sekali; gembira; menguntungkan ; indah, luar biasa ; bagus, suap, pelayan ; malam; jam awal malam ; makna tersirat"
"八日";"youka";"tanggal 8 setiap bulan, 8 hari"
"ようふく";"youfuku";"Pakaian gaya Barat (lih. pakaian tradisional Jepang)"
"よく";"yoku";"ketamakan; keinginan; menginginkan; nafsu makan; kelaparan; ingin ; sayap, Rasi bintang "Sayap" Cina (salah satu dari 28 rumah mewah), penghitung untuk burung atau sayap burung ; baik; dengan baik; Sehat; terampil, sering, Saya senang Anda...; terima kasih untuk..., (Anda) cukup berani untuk; Saya tidak tahu bagaimana Anda bisa... ; pengikut; Berikutnya ; mandi, mencuci ; tiang pancang, upacara radikal (no. 56)"
"よこ";"yoko";"horizontal (berlawanan dengan vertikal); berbaring, dari sisi ke sisi (bukan dari depan ke belakang); lebar, sisi (kotak, dll.), di samping; ke samping; di sebelah, tidak terhubung ; melintang, mendatar, menyamping"
"よっか";"yokka";"tanggal 4 setiap bulan, empat hari; 4 hari ; samara; kunci ; di bawah sayap (khususnya pesawat terbang), di bawah sayap seseorang; di bawah kendali seseorang"
"よっつ";"yottsu";"empat; 4, usia empat tahun, jam sepuluh (sistem waktu lama), Burakumin, pegangan silang"
"よぶ";"yobu";"untuk memanggil (ke); untuk memanggil, memanggil (seorang dokter, dsb.), mengundang, menunjuk; untuk menyebutkan nama; untuk merek, untuk mengumpulkan (dukungan, dll.); untuk berkumpul, untuk dijadikan istri"
"読む";"yomu";"membaca, melafalkan (misalnya sutra); mengucapkan, memprediksi; menebak; untuk meramalkan; membaca (pikiran seseorang); untuk melihat (misalnya ke dalam hati seseorang); untuk ilahi, untuk menguraikan, menghitung; memperkirakan, membaca (kanji) dengan bacaan aslinya dalam bahasa Jepang"
"より";"yori";"dari, dari; sejak; pada, kecuali; Tetapi; selain, lebih ; memutar; lapis ; mendorong mundur lawan saat terkunci dalam jarak dekat, memiliki kecenderungan ke arah; berada dekat dengan ; memilih ; dari, oleh, sejak, dari mana, melalui ; pergi dari ; dua orang"
"よる";"yoru";"karena; disebabkan oleh, tergantung pada; untuk menghidupkan, untuk didasarkan pada; berasal dari, berbasis di (lokasi, organisasi); untuk berkantor pusat di ; untuk mendekati; untuk mendekat; berada dekat, berkumpul (di satu tempat); untuk berkumpul; bertemu, berhenti (saat dalam perjalanan ke tempat lain); mampir; untuk melakukan kunjungan singkat, untuk menjadi tua; tumbuh tinggi (angka, dsb.), tumbuh (keriput), bersandar; untuk berbaring, untuk mendorong lawan sambil memegang ikat pinggangnya, untuk memutuskan harga dan mencapai kesepakatan, untuk terpengaruh oleh (seseorang); untuk menyerah ; malam, makan malam ; untuk memilih; memilih ; untuk memelintir (benang); untuk meletakkan (tali) ; untuk memiliki keberanian untuk; untuk menjadi cukup bajingan ; sotāpanna; śrotāpanna; pemenang arus; peserta arus ; hem, margin; alasan, sebab; karma, takdir ; oleh karena itu, akibatnya ; tongkat ; bersandar pada; untuk beristirahat melawan"
"よわい";"yowai";"lemah; halus; lembut; tidak terampil; lemah (anggur) ; usia (seseorang). ; rapuh, mudah dikalahkan, sentimental, rentan"
"よん";"yon";"empat; 4"
"来月";"raigetsu";"bulan depan"
"来週";"raishuu";"minggu depan"
"来年";"rainen";"tahun depan"
"りっぱ";"rippa";"bagus sekali; Bagus; tampan; anggun; mengesankan; menonjol, terpuji; dapat dikreditkan, sah, tidak dapat disangkal (misalnya kejahatan); tidak terbantahkan; padat ; menetapkan dan menyangkal (doktrin)"
"りゅうがくせい";"ryuugakusei";"pelajar luar negeri; pertukaran pelajar"
"りょうしん";"ryoushin";"hati nurani ; orang tua; kedua orang tua"
"りょうり";"ryouri";"memasak; masakan; makanan; piring; item pada menu, berurusan dengan sesuatu; penanganan; administrasi; pengelolaan ; pejabat yang baik"
"りょこう";"ryokou";"bepergian; perjalanan; tamasya; wisata"
"れい";"rei";"memerintah; memesan; dikte, tahun ke-n di era Reiwa (1 Mei 2019-) ; terima kasih; syukur, sopan santun; etiket, membungkuk, hadiah, upacara; ritual, uang kunci ; bel (sering berbentuk bulat) ; nol ; jiwa; roh; jiwa yang telah pergi; hantu ; kebiasaan; praktik; biasa, berkata; contoh, yang disebutkan di atas; contoh; kasus; ilustrasi; penggunaan, preseden ; instar (tahap perkembangan artropoda), umur; bertahun-tahun ; aksara klerikal (gaya kanji kuno yang sangat bersudut) ; berjuang; mendorong ; jahat ; cantik, megah, anggun ; denting batu giok ; kebiasaan sosial; tata krama; kesopanan; ritual ; pendamping ; menangis, membunyikan klakson burung, mendengungkan jangkrik ; batu asahan, semir ; capung, ngengat bulan ; tiram ; ekor wagtail ; usia ; kulkas, dingin; keren, sake dingin"
"れいぞうこ";"reizouko";"lemari es; kulkas"
"れんしゅう";"renshuu";"praktik; pelatihan; mengebor; sebuah latihan; olahraga"
"ろうか";"rouka";"koridor; lorong; gang ; penuaan; kemunduran pikun ; sinyal api; suar ; bermain api ; berjudi dengan hanafuda"
"ろく";"roku";"rusa (khususnya rusa sika, Cervus nippon); serviks ; enam; 6 ; catatan; salinan ; gaji; hadiah ; memuaskan; baik; Bagus; sesuai; layak ; bit (corong kuda), pukulan kedua dalam Delapan Prinsip Yong; pukulan ke kanan ; untuk mengukir kayu ; pembuatan kertas, disebar tipis-tipis, saring ; katrol, rol"
"わかい";"wakai";"muda, belum dewasa; hijau, rendah (angka); kecil ; rekonsiliasi; penyelesaian damai; akomodasi; kompromi; mediasi; pemulihan hubungan, penyelesaian melalui pengadilan, penerjemahan bahasa asing ke bahasa Jepang"
"分かる";"wakaru";"untuk mengerti; untuk memahami; untuk melihat; mendapatkan; mengikuti, menjadi jelas; untuk diketahui; untuk ditemukan; untuk direalisasikan, Saya tahu!; Aku pikir juga begitu!"
"わすれる";"wasureru";"untuk dilupakan; untuk pergi sembarangan; untuk melupakan; untuk melupakan (sebuah artikel)"
"わたくし";"watakushi";"SAYA, pribadi (urusan, dll.); keegoisan, pribadi; keberpihakan, kerahasiaan ; Saya sendiri, katakana mu radikal (no. 28)"
"わたし";"watashi";"feri (penyeberangan); feri(perahu), pengiriman ; SAYA"
"わたす";"watasu";"untuk menyeberang (misalnya sungai); untuk membawa; untuk melintasi, berbaring; untuk membangun, untuk menyerahkan; menyerahkan; melewati; memberi; untuk mengirim"
"わたる";"wataru";"untuk menyeberang, untuk memperluas; menutupi; berkisar; untuk menjangkau ; berlayar; menavigasi; kapal, perahu ; ford stream, menyeberang"
"わるい";"warui";"buruk; miskin; tidak diinginkan, buruk (berkualitas); lebih rendah; tidak cukup, jahat; berdosa, jelek; tidak cantik, karena kesalahan; menyalahkan; dalam salah, buruk (dalam melakukan sesuatu), tidak menguntungkan; tidak bermanfaat, maaf; (salahku; tidak bisa dimaafkan"
"アパート";"apaato";"gedung apartemen; blok apartemen; rumah apartemen, apartemen"
"エレベーター";"erebeetaa";"tangga berjalan; lift, lift (penerbangan)"
"カップ";"kappu";"cangkir (wadah minum, takaran, bra, hadiah, dll.)"
"カメラ";"kamera";"kamera"
"カレンダー";"karendaa";"kalender, kalender (mesin untuk meratakan sesuatu)"
"カレー";"karee";"kari (khususnya kari Jepang), nasi dan kari"
"キロ";"kiro";"kilo-; 1000, kilogram, kilometer, kilo-; 1024; 2^10"
"キログラム";"kiroguramu";"kilogram"
"キロメートル";"kiromeetoru";"kilometer"
"ギター";"gitaa";"gitar"
"クラス";"kurasu";"kelas"
"グラム";"guramu";"gram"
"コップ";"koppu";"gelas (wadah minum); tumbler, cangkir (setelan kartu remi) ; polisi"
"コピー";"kopii";"menyalin; fotokopi, uraian di jaket buku, tangkapan salinan"
"コート";"kooto";"lapangan (misalnya tenis, bola basket, bola voli) ; mantel, lapisan"
"コーヒー";"koohii";"kopi"
"シャツ";"shatsu";"kemeja (pakaian dalam); kaos; singlet, kemeja (pakaian luar; biasanya dengan kerah dan kancing)"
"シャワー";"shawaa";"mandi"
"スカート";"sukaato";"rok"
"ストーブ";"sutoobu";"pemanas (ruangan); kompor"
"スプーン";"supuun";"sendok"
"スポーツ";"supootsu";"olahraga"
"スリッパ";"surippa";"sandal"
"ズボン";"zubon";"celana panjang; celana"
"セーター";"seetaa";"sweter; peloncat"
"ゼロ";"zero";"nol; 0; nihil, tidak ada; nihil"
"タクシー";"takushii";"taksi"
"テスト";"tesuto";"penyelidikan; ulangan; tes tes; mencoba; uji coba, latihan (dalam pembuatan film)"
"テレビ";"terebi";"televisi; TV, program TV; siaran televisi"
"テーブル";"teeburu";"meja"
"テープ";"teepu";"tape"
"テープレコーダー";"teepurekoodaa";"alat perekam"
"デパート";"depaato";"toko serba ada, departemen"
"トイレ";"toire";"toilet; kamar kecil; kamar mandi; WC"
"ドア";"doa";"pintu (gaya Barat, mobil, dll.)"
"ナイフ";"naifu";"pisau"
"ニュース";"nyuusu";"berita"
"ネクタイ";"nekutai";"mengikat; dasi"
"ノート";"nooto";"buku catatan; buku salinan; buku latihan, catatan; mencatat, (musik) catatan, laptop (komputer); buku catatan (komputer)"
"ハンカチ";"hankachi";"saputangan"
"バス";"basu";"bis ; mandi ; bas, bas ganda ; bass (ikan, misalnya seabass Jepang)"
"バター";"bataa";"mentega"
"パン";"pan";"roti; kue (manis), tongkat kehidupan; roti seseorang ; panci; penggorengan, panning (kamera) ; panci-"
"パーティー";"paathii";"partai (pertemuan, perayaan, dll.), partai (kelompok, politik, dll.)"
"フィルム";"firumu";"film"
"フォーク";"fooku";"garpu, forkball ; folk (khususnya musik); lagu rakyat"
"プール";"puuru";"(berenang) kolam, kolam (biliar), kolam (bersama)"
"ベッド";"beddo";"tempat tidur"
"ペット";"petto";"hewan peliharaan, terompet ; polietilen tereftalat; Tomografi emisi positron PET, ; PELIHARAAN"
"ペン";"pen";"pena"
"ページ";"peeji";"halaman"
"ホテル";"hoteru";"hotel"
"ボタン";"botan";"kancing (pakaian), tombol tekan ; peoni pohon (Paeonia suffruticosa); moutan, babi hutan (daging)"
"ボールペン";"boorupen";"pulpen"
"ポケット";"poketto";"saku"
"ポスト";"posuto";"kotak pos; kotak surat; kotak pilar, tiang; posisi, pos (misalnya tiang gawang), pos- (misalnya pasca Perang Dingin)"
"マッチ";"macchi";"korek api (untuk menyalakan api) ; mencocokkan (kontes), untuk dicocokkan; untuk cocok dengan"
"メートル";"meetoru";"meter, meter; mengukur"
"ラジオ";"rajio";"radio"
"ラジオカセット";"rajiokasetto";"kaset radio; alat perekam"
"ラジカセ";"rajikase";"pemutar radio-kaset"
"レコード";"rekoodo";"rekor (misalnya LP), rekor (misalnya dalam olahraga), rekor (struktur data)"
"レストラン";"resutoran";"restoran (khususnya gaya Barat)"
"ワイシャツ";"waishatsu";"kemeja (formal); kemeja; kemeja bisnis; kemeja berkancing"
